Mirosław Maliszewski;PSL
Stefan Niesiołowski;PSL
Urszula Pasławska;PSL
Krzysztof Paszyk;PSL
Jacek Protasiewicz;PSL
Marek Sawicki;PSL
Zbigniew Sosnowski;PSL
Genowefa Tokarska;PSL
Piotr Zgorzelski;PSL
Adam Andruszkiewicz;WIS
Sylwester Chruszcz;WIS
Kornel Morawiecki;WIS
Jarosław Porwich;WIS
Małgorzata Zwiercan;WIS
Ireneusz Zyska;WIS
Piotr Babiarz;other
Magdalena Błeńska;other
Adam Cyrański;other
Ryszard Galla;other
Jan Klawiter;other
Piotr Liroy-Marzec;other
Ryszard Petru;other
Janusz Sanocki;other
Joanna Scheuring-Wielgus;other
Joanna Schmidt;other
Jacek Wilk;other
Robert Winnicki;other
